Vehicle_ID,Class_Name,Lane_ID,Is_Emergency_Lane,Is_Speeding,Frame,Timestamp,Speed_mph,Image_X,Image_Y,World_X,World_Y,Image_Trace_Length,World_Trace_Length
5,car,9,False,False,1,2026-03-02 15:52:50.053,0.0,692.9183349609375,173.52816772460938,12.877602577209473,39.21535873413086,1,1
5,car,9,False,False,2,2026-03-02 15:52:50.424,42.0,688.0765380859375,171.95794677734375,12.852889060974121,38.43031692504883,2,2
5,car,9,False,False,3,2026-03-02 15:52:50.796,43.0,683.982177734375,170.1553955078125,12.86648941040039,37.58366012573242,3,3
5,car,9,False,False,4,2026-03-02 15:52:51.170,42.0,680.1610717773438,168.89990234375,12.847786903381348,36.936431884765625,4,4
5,car,9,False,False,5,2026-03-02 15:52:51.528,38.0,676.8526611328125,167.58563232421875,12.84829330444336,36.283485412597656,5,5
5,car,9,False,False,6,2026-03-02 15:52:51.877,42.0,669.4912109375,164.9508819580078,12.827544212341309,34.908565521240234,6,6
5,car,9,False,False,7,2026-03-02 15:52:52.223,43.0,664.7415771484375,163.37008666992188,12.804755210876465,34.04671096801758,7,7
5,car,9,False,False,8,2026-03-02 15:52:52.574,42.0,660.5901489257812,161.96327209472656,12.786417007446289,33.27034378051758,8,8
5,car,9,False,False,9,2026-03-02 15:52:52.925,41.0,657.3509521484375,160.943359375,12.765913963317871,32.68755340576172,9,9
5,car,9,False,False,10,2026-03-02 15:52:53.272,42.0,651.1240844726562,158.0044403076172,12.802148818969727,31.134620666503906,10,10
5,car,9,False,False,11,2026-03-02 15:52:53.617,43.0,646.6967163085938,156.4131317138672,12.789134979248047,30.21449851989746,11,11
5,car,9,False,False,12,2026-03-02 15:52:53.964,42.0,642.74365234375,155.302978515625,12.752575874328613,29.515045166015625,12,12
5,car,9,False,False,13,2026-03-02 15:52:54.310,41.0,639.3837890625,153.96768188476562,12.752418518066406,28.73798942565918,13,13
5,car,9,False,False,14,2026-03-02 15:52:54.664,41.0,636.135009765625,153.1929168701172,12.710701942443848,28.209278106689453,14,14
5,car,9,False,False,15,2026-03-02 15:52:55.013,41.0,630.1563720703125,151.28744506835938,12.67159652709961,27.00015640258789,15,15
5,car,9,False,False,16,2026-03-02 15:52:55.357,42.0,625.9382934570312,149.63912963867188,12.668264389038086,25.98546600341797,16,16
5,car,9,False,False,17,2026-03-02 15:52:55.707,43.0,622.7937622070312,148.28733825683594,12.67587661743164,25.156015396118164,17,17
5,car,9,False,False,18,2026-03-02 15:52:56.053,44.0,620.0948486328125,146.86947631835938,12.703965187072754,24.30609893798828,18,18
5,car,9,False,False,19,2026-03-02 15:52:56.397,45.0,616.023681640625,145.5438232421875,12.678682327270508,23.406457901000977,19,19
5,car,9,False,False,20,2026-03-02 15:52:56.745,45.0,611.609375,144.1231689453125,12.649364471435547,22.422138214111328,20,20
5,car,9,False,False,21,2026-03-02 15:52:57.097,45.0,608.2991943359375,142.76535034179688,12.651931762695312,21.519344329833984,21,21
5,car,9,False,False,22,2026-03-02 15:52:57.457,45.0,604.9005126953125,141.39822387695312,12.652291297912598,20.590330123901367,22,22
5,car,9,False,False,23,2026-03-02 15:52:57.814,45.0,601.5302124023438,140.3543701171875,12.625627517700195,19.82188606262207,23,23
