Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_m,Duration_seconds
1789,95,958,1052,33.0,30.0,32.138297872340424,45.32696824017191,3.1333333333333333
1005,111,962,1073,28.0,21.0,25.581818181818182,44.00327159548124,3.7
1179,97,976,1072,32.0,26.0,29.885416666666668,44.116423969160635,3.2
1181,112,997,1110,28.0,17.0,25.46846846846847,44.89204343925866,3.7666666666666666
1890,89,1006,1095,34.0,29.0,32.70454545454545,44.27012570127701,2.966666666666667
1340,102,1013,1114,31.0,20.0,28.22772277227723,44.19667378157011,3.3666666666666667
1937,2,1021,1022,27.0,27.0,27.0,0.40727970531704644,0.03333333333333333
1985,8,1049,1057,42.0,25.0,30.0,3.381690497453565,0.26666666666666666
2007,2,1058,1062,34.0,34.0,34.0,0.5098548282786542,0.13333333333333333
1397,105,1059,1163,29.0,26.0,27.48076923076923,43.92859215741219,3.466666666666667
