Vehicle_ID,Class_Name,Lane_ID,Is_Emergency_Lane,Frame,Timestamp,Speed_mph,Image_X,Image_Y,World_X,World_Y,Image_Trace_Length,World_Trace_Length
29,car,8,False,13,2026-02-18 15:06:05.482,30.0,1312.4991455078125,308.6800537109375,14.178003311157227,19.790359497070312,13,13
29,truck,8,False,14,2026-02-18 15:06:06.221,30.0,1305.547119140625,306.039306640625,14.174339294433594,19.34939956665039,14,14
29,truck,8,False,15,2026-02-18 15:06:06.979,29.0,1298.894287109375,303.94622802734375,14.14847183227539,18.9785213470459,15,15
29,car,8,False,16,2026-02-18 15:06:07.734,30.0,1291.904052734375,301.0926513671875,14.154764175415039,18.49562644958496,16,16
29,car,8,False,17,2026-02-18 15:06:08.476,30.0,1285.20458984375,298.40216064453125,14.158578872680664,18.03114891052246,17,17
29,car,8,False,18,2026-02-18 15:06:09.220,30.0,1278.766845703125,295.91119384765625,14.157334327697754,17.590879440307617,18,18
29,car,8,False,19,2026-02-18 15:06:09.995,29.0,1272.5113525390625,293.6068115234375,14.149958610534668,17.173139572143555,19,19
29,car,8,False,20,2026-02-18 15:06:10.695,29.0,1266.1080322265625,291.544677734375,14.126493453979492,16.782155990600586,20,20
36,truck,3,False,1,2026-02-18 15:05:56.411,0.0,1096.665771484375,704.091796875,2.611438751220703,42.47810363769531,1,1
36,truck,3,False,2,2026-02-18 15:05:57.229,25.0,1106.93701171875,714.5489501953125,2.619898557662964,42.858543395996094,2,2
36,car,3,False,3,2026-02-18 15:05:57.954,14.0,1108.694580078125,716.3453369140625,2.621262788772583,42.92278289794922,3,3
36,car,3,False,4,2026-02-18 15:05:58.667,25.0,1128.234130859375,738.3926391601562,2.6187736988067627,43.674713134765625,4,4
36,car,3,False,5,2026-02-18 15:05:59.433,32.0,1143.899169921875,756.1412963867188,2.6162872314453125,44.249168395996094,5,5
36,car,3,False,6,2026-02-18 15:06:00.195,34.0,1159.572509765625,772.5931396484375,2.6242516040802,44.765655517578125,6,6
36,car,3,False,7,2026-02-18 15:06:00.944,33.0,1174.730224609375,788.7317504882812,2.629875659942627,45.251007080078125,7,7
36,car,3,False,8,2026-02-18 15:06:01.713,32.0,1190.1693115234375,805.1304931640625,2.6356828212738037,45.72524642944336,8,8
36,car,3,False,9,2026-02-18 15:06:02.494,32.0,1205.37255859375,822.2081909179688,2.6342215538024902,46.19511032104492,9,9
36,car,3,False,10,2026-02-18 15:06:03.243,31.0,1221.7513427734375,839.523681640625,2.6406497955322266,46.657806396484375,10,10
36,car,3,False,11,2026-02-18 15:06:03.973,31.0,1238.513427734375,858.1384887695312,2.640536308288574,47.13084411621094,11,11
36,car,3,False,12,2026-02-18 15:06:04.718,31.0,1255.7686767578125,877.1473999023438,2.641505241394043,47.594635009765625,12,12
36,car,3,False,13,2026-02-18 15:06:05.483,31.0,1273.8753662109375,896.962158203125,2.6433897018432617,48.058509826660156,13,13
13,car,4,False,11,2026-02-18 15:06:03.973,0.0,765.0889282226562,262.72943115234375,4.151147842407227,3.676093816757202,1,1
13,car,4,False,12,2026-02-18 15:06:04.718,25.0,767.6497802734375,264.3964538574219,4.167821884155273,4.060357093811035,2,2
13,car,4,False,13,2026-02-18 15:06:05.482,30.0,770.4188232421875,266.7550048828125,4.171008586883545,4.581965446472168,3,3
13,car,4,False,14,2026-02-18 15:06:06.221,35.0,772.943359375,269.49365234375,4.158548831939697,5.1656599044799805,4,4
13,car,4,False,15,2026-02-18 15:06:06.979,37.0,775.9393310546875,272.2427062988281,4.156932353973389,5.748895168304443,5,5
13,car,4,False,16,2026-02-18 15:06:07.733,35.0,779.0343017578125,274.6210632324219,4.16708517074585,6.253513813018799,6,6
13,car,4,False,17,2026-02-18 15:06:08.476,34.0,781.7742919921875,276.7022705078125,4.176563262939453,6.689253330230713,7,7
13,car,4,False,18,2026-02-18 15:06:09.220,35.0,785.021484375,279.398681640625,4.181822776794434,7.240188121795654,8,8
13,car,4,False,19,2026-02-18 15:06:09.995,34.0,787.804931640625,281.95806884765625,4.1800456047058105,7.749551296234131,9,9
13,car,4,False,20,2026-02-18 15:06:10.695,35.0,790.5716552734375,284.69781494140625,4.173450946807861,8.282313346862793,10,10
57,car,8,False,15,2026-02-18 15:06:06.979,0.0,1300.72509765625,304.71612548828125,14.1456880569458,19.10662078857422,1,1
57,truck,8,False,16,2026-02-18 15:06:07.734,31.0,1293.94482421875,301.9515075683594,14.151585578918457,18.640913009643555,2,2
