Vehicle_ID,Total_Frames,First_Frame,Last_Frame,Max_Speed_mph,Min_Speed_mph,Avg_Speed_mph,Total_Distance_mile,Duration_seconds
512,101,1005,1105,52.0,46.0,49.31,0.04628596265220328,3.3333333333333335
518,1,1008,1008,0,0,0,0.0,0.0
428,105,1010,1114,49.0,38.0,45.90384615384615,0.045241011350286284,3.466666666666667
379,109,1055,1163,47.0,40.0,44.324074074074076,0.045246700692491974,3.6
542,95,1061,1155,56.0,50.0,53.93617021276596,0.04688309024647119,3.1333333333333333
463,91,1077,1167,57.0,39.0,52.955555555555556,0.04545617496577375,3.0
454,99,1084,1182,51.0,44.0,48.61224489795919,0.0448178183146478,3.2666666666666666
578,112,1134,1245,46.0,42.0,44.88288288288288,0.04673635050827308,3.7
588,116,1174,1289,46.0,41.0,44.21739130434783,0.04740603255057056,3.8333333333333335
606,118,1225,1342,45.0,40.0,43.333333333333336,0.04707235950488444,3.9
579,92,1260,1351,56.0,46.0,53.24175824175824,0.045847177270885026,3.033333333333333
586,103,1268,1370,51.0,44.0,47.69607843137255,0.04611585736912568,3.4
611,88,1288,1375,59.0,48.0,54.55172413793103,0.045140223710746066,2.9
636,112,1298,1409,46.0,43.0,45.06306306306306,0.046457686484948545,3.7
592,95,1301,1395,54.0,48.0,51.01063829787234,0.04533104166853299,3.1333333333333333
